Yo'nalishlar,Ta’lim texnikasi,Python,Kompyuterli nigoh,Data mining,Web texnologiyalar,Suniy intellekt,o‘quvchilarning faolligi,natijasi
Algebra va geometriya ,Deduksiya metodi,40,78,67,93,98,63,3
Mаtematik tahlil ,klaster metodi,37,63,77,85,94,59,2
Sun’iy intellekt,Induksiya metodi,60,33,79,98,59,55,2
Mаtematik tahlil ,Induksiya metodi,88,96,74,33,55,58,2
Dasturiy injiniring,klaster metodi,56,75,93,80,79,64,3
Kompyuter ilmlari ,6x6x6 metodi,35,88,44,59,71,50,2
Matematik fizika va funksional analiz,Deduksiya metodi,66,71,64,35,97,56,2
Algebra va geometriya ,6x6x6 metodi,47,58,88,76,46,52,2
Mаtematik tahlil ,Taqqoslash usuli,51,97,98,66,78,65,3
Matematik fizika va funksional analiz,Induksiya metodi,42,63,82,80,32,50,2
Differensial tenglamalar,Induksiya metodi,71,61,80,75,50,56,2
Sun’iy intellekt,Fikriy hujum metodi,73,40,97,30,92,55,2
Kompyuter ilmlari ,Taqqoslash usuli,53,42,40,80,46,44,2
Mаtematik tahlil ,Induksiya metodi,53,48,66,37,57,44,2
Matematik fizika va funksional analiz,Taqqoslash usuli,34,46,65,48,93,48,2
Sun’iy intellekt,Deduksiya metodi,40,83,74,76,41,52,2
Dasturiy injiniring,Analogiya metodi,50,40,34,85,49,43,2
Kompyuter ilmlari ,Induksiya metodi,70,75,41,99,46,55,2
Kompyuter ilmlari ,Fikriy hujum metodi,48,55,77,81,99,60,2
Dasturiy injiniring,Deduksiya metodi,84,62,91,52,44,56,2
Algebra va geometriya ,klaster metodi,56,93,80,82,80,65,3
Dasturiy injiniring,Taqqoslash usuli,76,33,36,64,77,48,2
Kompyuter ilmlari ,klaster metodi,74,48,92,67,96,63,3
Kompyuter ilmlari ,6x6x6 metodi,88,98,42,76,90,66,3
Matematik fizika va funksional analiz,Deduksiya metodi,60,51,72,96,83,60,2
Sun’iy intellekt,klaster metodi,39,71,93,50,95,58,2
Dasturiy injiniring,zakovatli zukko metodi,70,53,64,85,59,55,2
Sun’iy intellekt,zakovatli zukko metodi,86,76,64,48,37,52,2
Dasturiy injiniring,Induksiya metodi,55,59,36,96,94,57,2
Differensial tenglamalar,Taqqoslash usuli,65,54,66,30,44,43,2
Kompyuter ilmlari ,Analogiya metodi,66,42,37,34,89,45,2
Matematik fizika va funksional analiz,Deduksiya metodi,30,65,64,95,92,58,2
Sun’iy intellekt,Induksiya metodi,52,38,63,75,33,44,2
Dasturiy injiniring,Fikriy hujum metodi,59,32,43,89,74,50,2
Matematik modellashtirish,6x6x6 metodi,63,74,90,45,95,61,3
Differensial tenglamalar,Taqqoslash usuli,69,46,63,45,89,52,2
Mаtematik tahlil ,Deduksiya metodi,95,95,42,85,60,63,3
Algebra va geometriya ,zakovatli zukko metodi,63,68,96,37,84,58,2
Sun’iy intellekt,Deduksiya metodi,56,82,68,94,46,58,2
Matematik fizika va funksional analiz,Analogiya metodi,59,82,42,50,48,47,2
Mаtematik tahlil ,zakovatli zukko metodi,82,48,86,54,60,55,2
Matematik modellashtirish,Analogiya metodi,84,52,61,91,39,54,2
Algebra va geometriya ,Fikriy hujum metodi,83,81,49,61,43,53,2
Matematik modellashtirish,6x6x6 metodi,79,57,82,53,51,54,2
Mаtematik tahlil ,Fikriy hujum metodi,59,92,33,88,37,52,2
Algebra va geometriya ,Induksiya metodi,41,60,63,78,86,55,2
Matematik modellashtirish,Induksiya metodi,55,47,67,79,37,48,2
Matematik fizika va funksional analiz,Fikriy hujum metodi,70,35,98,73,93,62,3
Dasturiy injiniring,6x6x6 metodi,58,57,40,94,48,50,2
Kompyuter ilmlari ,Fikriy hujum metodi,38,56,63,73,97,54,2
Dasturiy injiniring,6x6x6 metodi,44,80,42,78,99,57,2
Mаtematik tahlil ,6x6x6 metodi,85,80,66,46,87,61,3
Sun’iy intellekt,klaster metodi,58,62,89,84,39,55,2
Kompyuter ilmlari ,zakovatli zukko metodi,76,52,50,42,62,47,2
Differensial tenglamalar,Taqqoslash usuli,53,40,46,97,76,52,2
Matematik fizika va funksional analiz,6x6x6 metodi,54,50,41,66,71,47,2
Differensial tenglamalar,Analogiya metodi,46,77,57,70,76,54,2
Algebra va geometriya ,6x6x6 metodi,47,42,42,60,31,37,2
Kompyuter ilmlari ,6x6x6 metodi,45,38,67,83,85,53,2
Differensial tenglamalar,6x6x6 metodi,74,63,38,37,36,41,2
Differensial tenglamalar,klaster metodi,65,47,32,57,99,50,2
Matematik modellashtirish,zakovatli zukko metodi,73,50,57,83,83,58,2
Dasturiy injiniring,klaster metodi,94,50,42,86,78,58,2
Matematik modellashtirish,Induksiya metodi,83,39,82,73,76,59,2
Kompyuter ilmlari ,klaster metodi,82,75,42,66,53,53,2
Kompyuter ilmlari ,Analogiya metodi,31,43,39,64,54,38,2
Mаtematik tahlil ,Analogiya metodi,32,46,41,83,53,42,2
Matematik modellashtirish,klaster metodi,58,72,54,89,94,61,3
Ehtimollar nazariyasi,zakovatli zukko metodi,57,45,76,87,56,54,2
Dasturiy injiniring,Fikriy hujum metodi,82,71,88,76,63,63,3
Kompyuter ilmlari ,Taqqoslash usuli,66,35,36,54,62,42,2
Mаtematik tahlil ,zakovatli zukko metodi,84,87,36,86,41,56,2
Matematik modellashtirish,klaster metodi,45,72,36,80,61,49,2
Dasturiy injiniring,6x6x6 metodi,37,74,88,33,96,55,2
Matematik modellashtirish,Deduksiya metodi,58,58,57,73,33,46,2
Differensial tenglamalar,Taqqoslash usuli,38,34,85,79,44,47,2
Mаtematik tahlil ,Taqqoslash usuli,61,57,51,46,88,50,2
Dasturiy injiniring,Analogiya metodi,86,55,54,39,74,51,2
Algebra va geometriya ,Taqqoslash usuli,40,82,97,57,94,62,3
Algebra va geometriya ,klaster metodi,78,76,81,83,89,68,3
Dasturiy injiniring,6x6x6 metodi,86,76,60,75,55,59,2
Matematik modellashtirish,6x6x6 metodi,34,81,83,62,79,56,2
Mаtematik tahlil ,Induksiya metodi,67,56,44,90,50,51,2
Algebra va geometriya ,6x6x6 metodi,75,98,35,67,91,61,3
Mаtematik tahlil ,zakovatli zukko metodi,91,75,42,32,35,46,2
Algebra va geometriya ,6x6x6 metodi,37,73,62,79,40,48,2
Differensial tenglamalar,Analogiya metodi,57,99,70,45,97,61,3
Matematik modellashtirish,6x6x6 metodi,77,85,93,88,91,72,3
Differensial tenglamalar,Induksiya metodi,40,47,48,84,55,46,2
Algebra va geometriya ,Deduksiya metodi,35,33,58,88,46,43,2
Differensial tenglamalar,klaster metodi,72,95,63,37,42,52,2
Algebra va geometriya ,Analogiya metodi,37,94,72,68,88,60,2
Dasturiy injiniring,zakovatli zukko metodi,73,38,66,65,57,50,2
Differensial tenglamalar,Deduksiya metodi,71,72,71,95,84,66,3
Sun’iy intellekt,Analogiya metodi,77,51,56,96,42,54,2
Matematik modellashtirish,Fikriy hujum metodi,74,39,38,83,56,48,2
Kompyuter ilmlari ,Taqqoslash usuli,63,30,61,96,49,50,2
Ehtimollar nazariyasi,Fikriy hujum metodi,64,46,47,74,82,52,2
Differensial tenglamalar,6x6x6 metodi,97,94,30,87,55,60,2
Matematik fizika va funksional analiz,Deduksiya metodi,49,39,88,70,34,47,2
Matematik modellashtirish,6x6x6 metodi,94,46,51,70,97,60,2
Sun’iy intellekt,Taqqoslash usuli,98,40,85,80,50,59,2
Sun’iy intellekt,Analogiya metodi,55,48,89,76,55,54,2
Algebra va geometriya ,Taqqoslash usuli,69,34,50,33,52,40,2
Algebra va geometriya ,Induksiya metodi,44,37,70,48,75,46,2
Ehtimollar nazariyasi,Taqqoslash usuli,57,97,44,66,30,49,2
Dasturiy injiniring,Induksiya metodi,96,53,56,69,92,61,3
Matematik fizika va funksional analiz,Taqqoslash usuli,90,65,53,53,33,49,2
Kompyuter ilmlari ,klaster metodi,96,63,86,78,82,68,3
Ehtimollar nazariyasi,Induksiya metodi,52,98,82,91,70,66,3
Mаtematik tahlil ,Deduksiya metodi,86,89,83,99,86,74,4
Kompyuter ilmlari ,6x6x6 metodi,39,69,36,67,90,50,2
Differensial tenglamalar,zakovatli zukko metodi,32,80,76,97,67,59,2
Matematik modellashtirish,6x6x6 metodi,65,70,98,42,87,60,2
Mаtematik tahlil ,Fikriy hujum metodi,79,59,91,54,56,56,2
Mаtematik tahlil ,6x6x6 metodi,80,86,76,68,45,59,2
Ehtimollar nazariyasi,Analogiya metodi,51,83,50,45,88,53,2
